KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
GO049,Sardines dalam kaleng,47.1,338,21.1,27.0,1.0,0.0,3.8,354,434,3.5,,,,,76,0,,0.10,,,0,0
GO050,"Teripang, dendeng,
mentah",12.5,462,39.1,32.4,3.5,0.0,12.5,499,616,96.4,315,402.5,,,2,0,144.0,1.37,0.00,5.3,0,0
GO051,"Udang kering, mentah",14.9,278,62.6,4.1,2.2,,16.2,760,510,5.2,540,360.0,2.40,3.2,39,,,,,0.1,,0
GO052,"Udang papay, mentah",24.5,273,47.8,3.8,12.5,,11.5,1109,789,2.4,651,802.0,2.60,10.8,,,,,,,,0
GO053,Abon haruwan,11.6,513,23.7,37.0,21.3,,6.4,25,25,0.5,61,15.0,0.00,0.2,,,,,,,,0
GO054,Abon ikan,6.4,435,27.2,20.2,36.1,,10.1,,,,,,,,,,,,0.80,24.3,,0
GO055,"Betok wadi, masakan",69.2,145,16.3,7.0,4.1,,3.4,405,523,1.8,69,203.0,1.00,1.3,,,,0.22,,,,0
GO056,"Bou ninahu ndamate,
masakan",79.5,79,6.3,1.0,1.1,,2.1,,,,67,,,,691,,,0.10,0.00,0.1,,0
GO057,"Bouiki ninahu
nggaluku, masakan",73.9,94,7.8,2.2,10.8,,5.3,,,,58,179.4,,1.5,,,,0.50,0.03,2.4,,0
GO058,Cakalang asar (asap),64.3,155,20.1,3.8,10.2,,1.6,20,240,2.1,90,390.0,0.30,0.1,86,,,,0.70,0.2,,0
GO059,"Dendeng belut,
goreng, masakan",8.2,382,55.7,14.1,8.0,0.0,14.0,1069,654,15.4,,,,,28,,1480,0.48,,,0,0
GO060,"Dendeng mujahir,
goreng, masakan",6.5,598,74.3,26.9,9.2,0.0,13.1,1957,1447,7.4,,,,,18,,25,0.19,,,0,0
GO061,Fillet o-fish,51.0,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,,,,34,,580.0,0.59,,,0,0
GO062,"Gete kuah asam,
masakan",80.1,75,8.2,2.0,6.0,,3.8,1620,880,0.8,260,150.0,0.10,1.5,,,,,,0.1,,0
GO063,"Gulai asam keueung,
masakan",86.0,52,10.0,0.5,1.8,,1.7,62,102,0.3,332,141.0,0.00,1.0,,,,0.18,0.34,,,0
GO065,"Gulai ikan, masakan",75.7,106,16.5,3.3,2.5,,2.0,306,196,4.8,743,,,,86,,2760.0,0.32,,,0,0
GO064,"Gulai ikan paya,
masakan",72.1,148,10.0,9.8,5.0,,3.1,103,82,0.7,525,256.0,0.10,0.9,,,,0.26,0.02,,,0
GO066,"Gulai keumamah,
masakan",81.4,110,5.9,8.2,3.2,,1.3,32,96,1.0,335,121.0,0.20,0.9,,,,0.33,0.04,,,0
GO067,"Gulai tiram, masakan",73.1,132,9.0,7.2,7.8,,2.9,53,134,3.7,285,133.0,1.10,0.7,389,,,0.29,0.12,,,0
GO068,"Gurame asem manis,
masakan",63.1,192,12.7,10.1,12.7,0.0,2.4,283,169,1.1,,,,,19,,1440.0,0.10,,,0,0
GO069,"Ikan asar merah,
masakan",69.2,146,17.7,5.9,5.6,,1.6,100,240,4.0,170,310.0,0.30,1.4,224,0,,,,,,0
GO070,"Jambal goreng,
masakan",13.4,286,48.5,9.2,2.3,,26.6,207,457,3.3,,,,,109,,160.0,0.40,,3.1,0,0
GO071,"Jukku pallu kaloa,
masakan",69.4,15,15.2,4.3,8.8,,2.3,40,170,1.1,605,153.0,0.60,1.1,,,,0.30,0.14,7.5,,0
GO072,"Kaholeo, masakan",11.2,413,28.7,19.8,29.8,,10.5,909,1291,0.0,0,1171.0,0.10,3.1,4236,,,1.34,0.03,5.7,,0
GO073,Lawara penjah,64.5,207,7.4,15.4,9.6,,2.9,114,219,5.9,683,117.0,0.50,0.7,0,38,,0.19,0.04,,14,0
GO074,"Model, masakan",83.9,79,2.2,4.0,8.6,,1.3,8,33,0.8,147,34.0,0.10,0.5,,,,0.16,0.02,,,0
GO075,"Mujahir acar kuning,
masakan",43.1,330,17.8,23.4,12.1,1.1,4.6,154,357,5.3,,,,,24,,4130.0,0.15,,,0,0
GO076,"Parede baleh,
masakan",80.0,87,10.5,2.5,5.5,,1.5,35,215,0.9,416,59.0,0.10,0.2,,,,0.24,0.00,0.7,,0
GO077,"Pempek adaan,
masakan",62.6,162,4.9,3.0,27.8,,1.7,26,116,1.0,488,119.0,0.10,0.2,,,,0.30,0.03,1.0,,0
GO078,"Pempek belida,
masakan",61.4,156,4.2,1.4,31.6,0.2,1.4,100,55,3.3,,,,,0,,0.0,0.03,,,0,0
GO079,"Pempek kapal selam,
masakan",63.4,152,4.5,2.3,28.2,,1.6,19,115,1.6,628,91.0,0.10,0.2,,,,0.20,0.03,1.0,,0
GO080,"Pempek kelesan,
masakan",53.0,211,12.3,6.1,26.6,0.4,2.0,840,176,1.8,,,,,14,,888.0,0.25,,,0,0
GO081,"Pempek kulit,
masakan",45.7,243,5.2,7.3,39.1,,2.7,16,96,2.0,555,102.0,0.10,0.6,,,,0.20,0.02,0.9,,0
GO082,"Pempek telur,
masakan",62.4,156,4.7,2.7,28.3,,1.9,13,83,1.3,448,48.0,0.10,0.6,,,,0.20,0.05,1.1,,0
GO083,"Pempek tenggiri,
masakan",56.3,173,7.2,1.2,33.4,0.2,1.9,164,80,3.1,,,,,0,,0.0,0.02,,,0,0
GO084,"Pencok lele, masakan",47.5,372,7.8,36.3,3.5,0.0,4.9,289,295,5.3,,,,,64,0,"12070.
0",0.12,,,0,0
GO085,Pinda,71.0,107,15.9,0.6,0.4,,3.1,375,336,1.9,526,330.0,0.20,1.0,896,,,0.89,0.05,0.5,,0
GO086,"Pindang kenari,
masakan",80.1,124,9.5,9.6,0.0,,2.8,120,220,1.3,370,270.0,0.30,1.2,18,381,,,,0.1,,0
GO087,"Saboko gurita,
masakan",76.2,87,15.7,1.5,2.6,,4.1,60,14,2.1,200,180.0,0.90,4.0,38,,,,,,,0
GO088,"Saboko saltan,
masakan",76.0,113,17.1,3.6,3.0,,0.3,240,60,0.5,40,350.0,0.20,0.6,27,,,,,0.1,,0
GO089,"Saboko sardin,
masakan",70.0,110,12.9,4.3,4.9,,7.9,220,520,6.0,200,280.0,0.20,3.9,37,,,,,,,0
GO090,Sate Bandeng,47.1,283,12.1,16.8,20.9,2.0,3.1,118,186,1.2,543,199.0,0.20,0.9,,2,0.0,0.02,0.02,0.0,0,0
GO091,"Sepi, masakan",66.1,88,7.9,1.6,10.6,,13.8,924,350,2.3,873,258.0,1.00,1.1,783,,,,,,,0
GO092,"Tekwan, masakan",86.7,53,1.9,0.9,9.4,,1.1,9,41,1.0,174,42.0,0.00,0.0,99,,,0.10,0.02,0.4,,0
GO093,"Teri belado, masakan",25.8,365,23.7,22.3,17.5,0.0,10.9,869,348,4.0,,,,,27,,1567.0,0.13,,,0,0
GO094,"Tumis bandeng,
masakan",70.5,189,11.3,15.7,0.6,,1.9,56,129,0.4,314,280.0,0.10,0.7,579,,,0.46,0.02,,,0
GO095,Tumis keumamah,45.7,300,14.5,20.0,15.5,4.5,4.3,,,,,,,,,8,,0.63,0.04,,7,0
HM001,"Telur ayam kampung,
segar",73.1,174,10.8,14.0,1.2,0.0,0.9,68,268,4.9,190,141.0,0.60,1.5,203,23,125,0.78,0.62,0.2,,0
HM002,"Telur ayam ras, segar",74.3,154,12.4,10.8,0.7,0.0,0.8,86,258,3.0,142,118.5,0.16,1.0,61,22,104,0.12,0.38,0.2,0,0
HM003,"Telur ayam ras, bagian
kuning, segar",49.4,355,16.3,31.9,0.7,0.0,1.7,147,586,7.2,111,107.5,0.20,2.5,606,63,,0.27,0.51,0.2,0,0
HM004,"Telur aAyam ras,
bagian putih, segar",87.8,50,10.8,0.0,0.8,0.0,0.6,6,17,0.2,164,138.5,0.03,0.4,0,0,,0.00,0.26,0.4,0,0
HM005,"Telur bebek alabio,
segar",70.0,187,11.8,14.2,3.0,0.0,1.0,60,268,6.0,115,80.0,0.60,1.7,180,437,,1.55,0.37,0.1,,0
HM006,"Telur bebek, bagian
kuning, segar",47.0,386,17.0,35.0,0.8,0.0,0.2,150,400,7.0,106,90.7,0.09,2.5,870,747,,0.60,0.68,1.4,0,0
